module,timestamp
0,1127.004623413086
4,1127.004623413086
0,1405.0006866455078
3,1405.0006866455078
0,1410.0074768066406
1,1410.0074768066406
2,1410.0074768066406
3,1410.0074768066406
0,1621.0079193115234
0,1827.0015716552734
4,1827.0015716552734
0,2007.0075988769531
0,2635.0021362304688
3,2635.0021362304688
0,2707.0045471191406
0,2743.0057525634766
0,2815.0081634521484
3,2815.0081634521484
0,2882.0037841796875
2,2882.0037841796875
0,3093.0042266845703
0,3371.000289916992
0,3412.008285522461
2,3412.008285522461
0,3479.00390625
4,3479.00390625
0,3659.0099334716797
0,3968.0004119873047
2,3968.0004119873047
0,4009.0084075927734
0,4040.0028228759766
1,4040.0028228759766
2,4040.0028228759766
3,4040.0028228759766
0,4179.0008544921875
4,4179.0008544921875
0,4498.004913330078
2,4498.004913330078
0,4920.005798339844
1,4920.005798339844
2,4920.005798339844
3,4920.005798339844
0,5095.005035400391
3,5095.005035400391
0,5553.007125854492
0,5656.003952026367
2,5656.003952026367
4,5656.003952026367
0,5795.001983642578
3,5795.001983642578
0,5970.001220703125
1,5970.001220703125
2,5970.001220703125
3,5970.001220703125
0,6217.002868652344
0,6356.000900268555
2,6356.000900268555
4,6356.000900268555
0,6572.00813293457
2,6572.00813293457
0,6819.009780883789
0,7200.002670288086
1,7200.002670288086
2,7200.002670288086
3,7200.002670288086
0,7550.00114440918
1,7550.00114440918
2,7550.00114440918
3,7550.00114440918
0,7730.007171630859
1,7730.007171630859
2,7730.007171630859
3,7730.007171630859
0,7766.008377075195
2,7766.008377075195
0,7977.008819580078
0,8116.006851196289
2,8116.006851196289
0,8188.009262084961
2,8188.009262084961
0,8327.007293701172
0,8605.003356933594
3,8605.003356933594
0,9063.005447387695
0,9727.001190185547
0,9763.002395629883
0,9768.009185791016
2,9768.009185791016
0,10046.005249023438
2,10046.005249023438
0,10082.006454467773
2,10082.006454467773
0,10154.008865356445
2,10154.008865356445
0,10221.004486083984
0,10540.008544921875
1,10540.008544921875
2,10540.008544921875
3,10540.008544921875
0,10782.003402709961
2,10782.003402709961
0,11029.00505065918
0,11096.000671386719
2,11096.000671386719
0,11307.001113891602
0,11379.003524780273
0,11487.007141113281
4,11487.007141113281
0,11554.00276184082
2,11554.00276184082
0,11626.005172729492
2,11626.005172729492
0,11868.000030517578
2,11868.000030517578
0,11873.006820678711
0,11976.003646850586
2,11976.003646850586
0,12470.006942749023
1,12470.006942749023
2,12470.006942749023
3,12470.006942749023
0,12501.001358032227
0,12748.003005981445
2,12748.003005981445
0,12928.009033203125
2,12928.009033203125
0,13170.003890991211
1,13170.003890991211
2,13170.003890991211
3,13170.003890991211
0,13556.00357055664
2,13556.00357055664
0,13803.00521850586
0,14400.005340576172
1,14400.005340576172
2,14400.005340576172
3,14400.005340576172
0,14503.002166748047
0,14508.00895690918
2,14508.00895690918
0,14894.00863647461
2,14894.00863647461
0,14925.003051757812
3,14925.003051757812
0,14961.004257202148
0,15100.00228881836
1,15100.00228881836
2,15100.00228881836
3,15100.00228881836
0,15136.003494262695
2,15136.003494262695
0,15239.00032043457
4,15239.00032043457
0,15383.005142211914
0,15486.001968383789
2,15486.001968383789
0,15491.008758544922
4,15491.008758544922
0,15527.009963989258
0,15805.00602722168
3,15805.00602722168
0,16119.003295898438
0,16222.000122070312
2,16222.000122070312
0,16402.006149291992
2,16402.006149291992
0,16577.00538635254
0,16685.009002685547
3,16685.009002685547
0,16927.003860473633
0,17066.001892089844
2,17066.001892089844
4,17066.001892089844
0,17138.004302978516
2,17138.004302978516
0,17174.00550842285
2,17174.00550842285
0,17277.002334594727
0,17493.009567260742
4,17493.009567260742
0,17663.002014160156
0,17982.006072998047
2,17982.006072998047
0,18049.001693725586
0,18090.009689331055
1,18090.009689331055
2,18090.009689331055
3,18090.009689331055
0,18471.00257873535
0,18754.005432128906
2,18754.005432128906
0,18893.003463745117
4,18893.003463745117
0,19629.00161743164
0,19634.008407592773
2,19634.008407592773
0,19701.004028320312
